HIP,right ascension_lon,declination_lat,apparent magnitude,Star Name
5361,17,58.25,5.77,
5364,17,-10.16,3.46,
5372,17,86.25,4.24,
5434,17.25,47.23,4.26,
5447,17.25,35.61,2.07,Mirach
5454,17.25,19.65,5.57,
5493,17.5,42.06,5.67,
5494,17.5,25.45,5.81,
5510,17.5,2.43,5.97,
5518,17.5,68.76,5.32,
5542,17.75,55.13,4.34,
5544,17.75,31.41,5.15,
5550,17.75,37.71,5.8,
5566,17.75,64.2,5.56,
5571,17.75,21.03,4.66,
5586,17.75,30.08,4.51,
5589,17.75,65.01,5.57,
5594,17.75,-2.25,5.93,
5626,18,79.66,5.6,
5661,18,-37.85,5.95,
5737,18.25,7.56,5.21,
5742,18.25,24.58,4.67,
5778,18.5,16.13,5.97,
5799,18.5,-7.91,5.14,
5833,18.5,-0.96,5.7,
5862,18.75,-45.51,4.97,
5896,18.75,-68.86,4.25,
5926,19,71.73,5.87,
5951,19,-2.5,5.42,
6061,19.25,3.6,5.13,
6193,19.75,27.25,4.74,
6226,19.75,-0.5,5.87,
6242,20,58.21,4.95,
6315,20.25,28.73,5.23,
6411,20.5,45.51,4.87,
6492,20.75,20.46,5.97,
6502,20.75,-30.93,5.84,
6514,20.75,37.7,5.6,
6537,21,-8.16,3.6,
6564,21,-6.9,5.92,
6592,21,-41.48,5.42,
6631,21.25,-64.36,5.92,
6670,21.25,-14.58,4.9,
6686,21.25,60.23,2.66,Ruchbah
6692,21.25,68.11,4.72,
6706,21.5,19.16,5.35,
6711,21.5,43.45,5.98,
6732,21.5,19.23,5.5,
6748,21.5,-13.05,5.51,
6813,21.75,45.4,4.83,
6867,22,-43.31,3.41,
6960,22.25,-21.61,5.11,
6999,22.5,47,5.27,
7007,22.5,6.13,4.84,
7016,22.5,-26.2,5.92,
7078,22.75,70.25,5.82,
7083,22.75,-49.06,3.93,
7097,22.75,15.33,3.62,
7118,22.75,-30.26,5.79,
7213,23,-36.85,5.49,
7251,23.25,58.31,5.69,
7276,23.25,-7.01,5.75,
7294,23.25,59.21,4.68,
7321,23.5,37.23,5.9,
7345,23.5,-15.66,5.62,
7359,23.5,18.45,5.9,
7447,23.75,17.43,5.95,
7450,23.75,-15.4,5.41,
7463,24,-29.9,5.69,
7513,24,41.4,4.1,
7535,24.25,12.13,5.54,
7568,24.25,-84.76,5.66,
7588,24.25,-57.23,0.45,Achernar
7601,24.25,-82.96,5.88,
7607,24.25,48.61,3.59,
7617,24.5,57.96,5.55,
7643,24.5,-36.51,5.94,
7650,24.5,73.03,5.28,
7679,24.5,-21.26,5.58,
7719,24.75,44.38,5.01,
7740,24.75,16.4,5.98,
7751,24.75,-56.18,5.76,p Eridani
7818,25,40.56,4.96,
7825,25,43.28,5.63,
7884,25.25,5.48,4.45,
7906,25.25,30.03,5.97,
7916,25.25,-11.31,5.75,
7918,25.25,42.6,4.96,
7921,25.25,-60.78,5.7,
7941,25.5,-36.81,5.7,
7943,25.5,35.23,5.63,
7955,25.5,-32.31,5.25,
7965,25.5,68.03,5.57,
7978,25.5,-53.73,5.52,
7981,25.5,20.26,5.24,
7999,25.5,-3.68,4.98,
8016,25.5,70.61,5.18,
8046,25.75,60.55,5.78,
8068,25.75,50.68,4.01,
8102,26,-15.93,3.49,
8198,26.25,9.15,4.26,
8209,26.25,-25.05,5.29,
8230,26.25,-5.71,5.37,
8240,26.5,-50.8,5.49,
8241,26.5,-53.51,5.04,
8362,26.75,63.85,5.63,
8387,27,16.95,5.86,
8404,27,3.68,5.91,
8423,27,37.95,5.94,
8433,27,32.68,5.78,
8497,27.25,-10.68,4.66,
8544,27.5,22.26,5.83,
8588,27.5,11.03,5.92,
8593,27.5,-50.2,5.94,
8598,27.5,51.93,5.96,
8645,27.75,-10.33,3.74,
8704,27.75,55.13,5.53,
8714,28,50.78,5.7,
8778,28,-16.91,5.78,
8796,28.25,29.56,3.42,
8814,28.25,40.71,5.42,
8832,28.25,19.28,3.88,
8833,28.25,3.18,4.61,
8837,28.25,-46.3,4.39,
8882,28.5,-42.48,5.12,
8886,28.5,63.66,3.35,
8903,28.5,20.8,2.64,Sheratan
8928,28.5,-67.63,4.68,
8993,28.75,23.56,5.76,
9001,28.75,37.26,5.89,
9007,28.75,-51.6,3.69,
9009,29,68.68,4.97,
9021,29,37.25,5.69,
9061,29,-22.51,4.92,
9095,29.25,-47.38,4.82,
9110,29.25,17.81,5.09,
9132,29.25,27.8,5.84,
9153,29.25,23.58,4.79,
9222,29.5,49.2,5.7,
9236,29.5,-61.56,2.86,
9307,29.75,21.05,5.89,
9312,29.75,64.61,5.29,
9313,29.75,-42.01,5.57,
9326,29.75,-20.81,5.43,
9347,30,-21.06,3.99,
9353,30,3.08,5.89,
9372,30,-8.51,5.43,
9440,30.25,-30,5.34,
9459,30.25,-44.7,5.15,
9480,30.25,70.9,4.49,
9487,30.5,2.75,3.82,
9505,30.5,54.48,4.99,
9533,30.5,13.46,5.97,
9564,30.5,64.9,6,
9570,30.5,33.28,5.5,
9572,30.5,-15.3,5.87,
9573,30.75,64.38,5.59,
9589,30.75,0.11,5.42,
9598,30.75,72.41,3.95,
9621,30.75,25.93,5.64,
9622,30.75,-4.1,5.61,
9631,30.75,-0.33,5.96,
9640,30.75,42.31,2.1,Almaak
9677,31,-29.28,4.68,
9727,31.25,77.26,5.27,
9763,31.25,76.1,5.22,
9836,31.5,22.63,5.03,
9884,31.75,23.45,2.01,Hamal
9977,32,37.85,4.78,
9990,32,58.41,5.66,
10035,32.25,-43.5,5.84,
10053,32.25,25.93,4.98,
10064,32.25,34.98,3,
10155,32.5,19.5,5.68,
10212,32.75,8.56,5.64,
10215,32.75,-10.05,6,
10234,32.75,-1.81,5.94,
10280,33,30.3,4.94,
10296,33,24.16,5.96,
10305,33,-2.38,5.65,
10306,33,21.2,5.23,
10320,33,-30.71,5.27,
10324,33.25,8.83,4.36,
10326,33.25,-21,5.86,
10328,33.25,15.26,5.72,
10340,33.25,44.21,4.84,
10366,33.25,51.05,5.31,
10418,33.5,-67.83,5.57,
10440,33.5,-41.16,5.91,
10513,33.75,-67.73,5.67,
10535,33.75,25.03,5.57,
10540,33.75,25.76,5.79,
10559,33.75,33.35,5.25,
10602,34,-51.5,3.56,
10642,34,-6.41,5.51,
10644,34.25,34.21,4.84,
10670,34.25,33.83,4.03,
10718,34.25,57.88,5.75,
10723,34.5,1.75,5.6,
10729,34.5,57.5,5.99,
10732,34.5,19.9,5.58,
10793,34.5,28.63,5.29,
10819,34.75,47.36,5.31,
10871,34.75,-55.93,5.81,
10944,35,50.15,5.57,
11001,35.25,-68.65,4.08,
11021,35.25,0.38,5.29,
11029,35.5,-10.76,5.43,
11033,35.5,-17.65,5.89,
11046,35.5,-0.88,5.42,
11060,35.5,55.83,5.16,
11072,35.5,-23.8,5.19,
